Park,July 2018,Aug 2018,Sept 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019, Mar 2019 , Apr 2019 ,May 2019,Jun 2019,Total 
Anasazi Indian Village State Park," 1,688 "," 1,288 "," 2,773 "," 2,843 ", 515 , 181 , 171 , 72 , 593 ," 2,497 "," 3,303 ","3,174"," 19,099 "
Antelope Island State Park," 54,290 "," 44,148 "," 45,051 "," 46,381 "," 36,354 "," 17,918 "," 22,035 "," 22,817 "," 42,624 "," 63,895 "," 54,663 ","73,413"," 523,590 "
Bear Lake State Park," 121,719 "," 90,878 "," 29,466 "," 6,904 "," 1,647 "," 3,607 "," 7,116 "," 12,775 "," 6,038 "," 1,958 "," 11,329 ","89,330"," 382,767 "
Camp Floyd - Stage Coach Inn State Park," 2,703 "," 1,453 ", 882 , 670 , 196 , 47 , 633 , 42 , 486 ," 1,183 "," 1,326 ","3,562"," 13,183 "
Coral Pink Sand Dunes State Park," 12,542 "," 8,950 "," 14,190 "," 13,424 "," 8,364 "," 4,558 "," 2,064 "," 1,614 "," 8,192 "," 17,223 "," 17,656 ","21,269"," 130,045 "
Dead Horse Point State Park," 91,020 "," 84,957 "," 142,107 "," 100,119 "," 51,465 "," 10,979 "," 19,072 "," 11,755 "," 56,433 "," 127,780 "," 135,297 ","141,271"," 972,255 "
Deer Creek State Park," 139,402 "," 85,433 "," 50,322 "," 10,520 "," 1,916 ", 703 ," 1,658 "," 2,254 ", 621 ," 9,337 "," 23,431 ","87,030"," 412,627 "
East Canyon State Park," 43,963 "," 25,657 "," 14,854 "," 6,115 ", 604 , 167 ," 3,656 "," 2,859 ", 24 ," 2,874 "," 8,531 ","33,891"," 143,195 "
Echo State Park, -   , -   , -   , -   , -   , -   , -   ," 5,934 ", -   , 60 ," 1,111 ","9,117"," 16,221 "
Edge Of The Cedars State Park, 646 , 657 ," 1,582 "," 1,985 ", 728 , 162 , 190 , 203 , 718 ," 2,009 "," 2,706 ","1,669"," 13,257 "
Escalante Petrified Forest State Park," 6,140 "," 5,605 "," 7,588 "," 7,846 "," 2,121 ", 633 , 595 , 146 ," 2,586 "," 9,746 "," 9,463 ","11,675"," 64,142 "
Fremont Indian State Park," 3,272 "," 2,816 "," 3,451 "," 2,040 ", 904 , 265 , 298 , 328 , 709 ," 2,143 "," 4,485 ","7,105"," 27,816 "
Goblin Valley State Park," 18,914 "," 17,149 "," 26,464 "," 34,113 "," 18,343 "," 3,214 "," 5,703 "," 5,021 "," 19,214 "," 55,425 "," 57,740 ","39,789"," 301,089 "
Goosenecks State Park," 6,180 "," 7,717 "," 8,339 "," 9,223 "," 2,187 ", 229 ," 1,016 ", 785 ," 3,850 "," 6,951 "," 9,115 ","11,002"," 66,594 "
Great Salt Lake Marina State Park," 9,417 "," 9,796 "," 10,256 "," 6,461 "," 3,933 "," 2,646 "," 3,031 "," 2,919 "," 3,148 "," 7,420 "," 8,963 ","15,707"," 83,698 "
Green River State Park," 6,308 "," 5,393 "," 10,360 "," 9,590 "," 3,065 ", 292 , 161 , 366 ," 3,584 "," 12,823 "," 13,717 ","15,770"," 81,428 "
Gunlock State Park," 9,368 "," 4,556 "," 3,815 ", 769 , 483 , 185 , 104 , 176 ," 4,128 "," 8,184 "," 6,285 ","20,235"," 58,288 "
Huntington State Park," 9,064 "," 5,569 "," 3,348 "," 1,705 ", 437 , 80 , 47 , 36 , 338 ," 1,971 "," 2,911 ","9,982"," 35,487 "
Hyrum State Park," 28,448 "," 14,508 "," 8,276 "," 2,642 ", 671 , 303 ," 2,534 "," 1,546 ", 501 ," 1,725 "," 6,297 ","29,632"," 97,083 "
Frontier State Park," 1,455 "," 1,560 ", 909 ," 1,434 ", 638 , 833 , 259 , 162 , 589 ," 1,076 ", 950 ,"1,606"," 11,471 "
Jordanelle State Park," 159,051 "," 153,557 "," 72,856 "," 14,887 "," 6,322 "," 2,285 "," 2,732 "," 3,655 "," 3,374 "," 18,730 "," 32,226 ","128,479"," 598,154 "
Kodachrome Basin State Park," 12,019 "," 9,646 "," 16,683 "," 17,432 "," 6,457 ", 822 , 704 , 464 ," 5,842 "," 23,043 "," 20,515 ","21,611"," 135,238 "
Millsite State Park," 2,185 "," 1,364 "," 1,633 "," 1,074 ", 20 , 5 , 20 , -   , 21 , 996 ," 1,581 ","3,271"," 12,172 "
Jordan River OHV State Park," 6,825 "," 8,640 "," 10,666 "," 2,382 "," 5,232 ", -   , -   , 32 , 32 , -   , -   ,503," 34,313 "
Otter Creek State Park," 4,640 "," 3,980 "," 2,752 "," 1,339 ", 913 , 26 , 226 , 213 , 133 ," 4,077 "," 5,801 ","10,465"," 34,566 "
Palisade State Park," 31,042 "," 22,091 "," 14,369 "," 8,236 ", 906 , 190 , 224 , 49 ," 1,104 "," 12,444 "," 14,275 ","46,021"," 150,951 "
Piute State Park, -   , 150 , 34 , -   , 70 , -   , 3 , 2 , 6 , 7 , 6 ,338, 617 
Quail Creek State Park," 26,075 "," 17,455 "," 12,966 "," 7,244 "," 5,279 ", 944 ," 1,666 "," 1,652 "," 6,564 "," 18,100 "," 16,670 ","33,851"," 148,466 "
Red Fleet State Park," 15,029 "," 8,197 "," 3,171 ", 852 , 97 , 66 , 141 , 65 , 55 , 586 ," 4,361 ","16,763"," 49,382 "
Rockport State Park," 34,686 "," 25,924 "," 11,999 "," 3,788 ", 856 , 895 ," 5,200 "," 2,239 ", 489 ," 4,160 "," 11,208 ","35,461"," 136,905 "
Sand Hollow State Park," 101,343 "," 71,391 "," 72,914 "," 50,840 "," 40,716 "," 9,087 "," 17,774 "," 18,704 "," 43,950 "," 122,564 "," 108,179 ","170,064"," 827,527 "
Scofield State Park," 4,391 "," 1,906 "," 2,042 ", 75 , 471 , 51 , -   , 14 , -   , -   ," 5,465 ","6,593"," 21,009 "
Snow Canyon State Park," 18,227 "," 14,514 "," 34,821 "," 48,749 "," 46,806 "," 18,443 "," 41,110 "," 33,883 "," 64,334 "," 86,034 "," 52,101 ","52,407"," 511,429 "
Starvation State Park," 28,756 "," 25,204 "," 14,911 "," 2,141 ", 372 , 138 ," 1,006 ", 830 , 221 ," 1,828 "," 8,240 ","27,578"," 111,225 "
Steinaker State Park," 4,126 "," 2,147 "," 2,360 ", 620 , 262 , 189 , 428 , 199 , 181 , 579 ," 1,522 ","4,297"," 16,910 "
Territorial Statehouse State Park, 496 , 500 , 350 , 148 , 247 , 397 , 883 ," 1,111 "," 1,516 ", 198 , 125 ,"3,329"," 9,301 "
Utah Field House Of Natural History State Park," 10,309 "," 7,264 "," 5,588 "," 3,778 "," 1,606 ", 731 ," 1,638 ", 336 ," 2,202 "," 5,819 "," 5,781 ","12,267"," 57,319 "
Utah Lake State Park," 19,218 "," 12,786 "," 8,965 "," 4,811 ", 881 ," 1,564 "," 1,357 "," 1,286 "," 3,276 "," 13,279 "," 17,881 ","41,918"," 127,222 "
Wasatch Mountain State Park," 71,782 "," 57,816 "," 59,500 "," 21,541 "," 6,399 "," 7,706 "," 5,168 "," 5,446 "," 6,003 "," 17,951 "," 30,784 ","76,670"," 366,766 "
Willard Bay State Park," 71,579 "," 74,520 "," 48,297 "," 13,388 "," 5,793 "," 70,181 "," 9,941 "," 7,156 "," 7,994 "," 33,940 "," 46,639 ","127,677"," 517,106 "
Yuba State Park," 27,809 "," 12,205 "," 5,595 "," 1,578 ", 499 , 124 , 73 , 13 , 283 ," 6,008 "," 11,296 ","38,119"," 103,601 "
,,,,,,,,,,,,,
Total," 1,216,127 "," 949,347 "," 786,506 "," 469,688 "," 264,776 "," 160,848 "," 160,637 "," 149,161 "," 301,952 "," 706,623 "," 773,936 "," 1,483,911 "," 7,423,513 "
